cwid,slug,name,title,bio_words,voice,starts,empty_p,real_p,img,links,lists,headings,db_role,db_has_overview,net_new
,adrienne-boire,Adrienne Boire,Associate Professor,271,third_named,title,2,10,0,4,1,0,,,0
,agnel-sfeir,Agnel Sfeir,Professor,162,third_lab,name,6,0,0,0,1,0,,,0
,alan-hanash,Alan Hanash,Assistant Professor,213,third_lab,name,2,1,0,0,1,0,,,0
,alban-ordureau,Alban Ordureau,Assistant Professor,120,third_named,name,0,3,0,0,1,0,,,0
pernisa,alessandra-pernis,Alessandra Pernis,Professor,191,third_named,name,0,5,0,3,2,0,affiliated_faculty,False,0
ala2022,alessio-accardi,Alessio Accardi,Professor,428,first_singular,other,6,2,1,0,1,0,full_time_faculty,False,1
,alex-kentsis,Alex Kentsis,Professor,385,third_lab,title,2,8,0,1,2,0,,,0
,alexander-gitlin,Alexander Gitlin,,113,third_lab,other,0,3,0,0,1,0,,,0
alr2031,alexander-rudensky,Alexander Rudensky,Professor/Chair,357,third_named,name,2,8,1,0,1,0,affiliated_faculty,False,0
,alexandros-pertsinidis,Alexandros Pertsinidis,Professor,70,first_plural,other,2,0,1,0,0,0,,,0
aim2001,alvin-mushlin,Alvin Mushlin,Professor,403,third_named,name,8,0,1,0,0,0,affiliated_faculty,True,0
amb2036,amelia-bond,Amelia Bond,Associate Professor,56,third_named,name,0,1,0,0,0,0,full_time_faculty,False,1
amk2012,amy-kuceyeski,Amy Kuceyeski,Professor,133,third_named,title,4,0,0,0,1,0,full_time_faculty,False,1
akm2003,anant-menon,Anant Menon,Professor,98,third_named,name,0,1,0,0,0,0,full_time_faculty,True,0
,andrea-schietinger,Andrea Schietinger,Associate Professor,64,first_plural_lab,other,2,0,1,0,0,0,,,0
,andrea-ventura,Andrea Ventura,Professor,57,third_lab,other,0,1,0,0,0,0,,,0
,andrew-koff,Andrew Koff,Professor,44,first_singular,other,0,1,0,0,0,0,,,0
,anna-katerina-hadjantonakis,Anna-Katerina Hadjantonakis,Professor,69,third_named,title,2,0,0,0,0,0,,,0
ago2002,anna-orr,Anna Orr,Assistant Professor,134,third_named,title,2,2,0,0,1,0,full_time_faculty,False,1
and2039,annarita-dilorenzo,Annarita DiLorenzo,Professor,0,,,,,,,,,full_time_faculty,False,0
amcbrown,anthony-brown,Anthony Brown,Associate Professor,117,third_named,name,0,3,0,0,1,0,affiliated_faculty,True,0
,antonio-marzio,Antonio Marzio,Assistant Professor,114,third_lab,title,0,3,0,0,1,0,,,0
arj2005,arian-jung,Arian Jung,Associate Professor,198,third_named,title,0,6,0,0,4,0,full_time_faculty,True,0
asl4003,ashley-laughney,Ashley Laughney,Associate Professor,130,third_lab,name,2,1,0,0,1,0,full_time_faculty,True,0
,asmin-tulpule,Asmin Tulpule,Assistant Professor,143,third_lab,name,4,0,0,0,1,0,,,0
,b-franklin-pugh,B. Franklin Pugh,Professor,345,third_lab,title,2,8,0,5,1,0,,,0
baz3002,baohong-zhao,Baohong Zhao,Professor,160,third_lab,title,2,1,0,0,1,0,,,0
baw2001,baolin-wang,Baolin Wang,Associate Professor,75,third_lab,name,0,3,0,0,1,0,full_time_faculty,True,0
blhempst,barbara-hempstead,Barbara Hempstead,Dean,112,third_lab,the_lab,8,0,1,0,0,0,full_time_faculty,False,1
bschwer,beate-schwer,Beate Schwer,Professor,115,third_named,name,2,1,0,0,1,0,full_time_faculty,True,0
bek9059,benjamin-kleaveland,Benjamin Kleaveland,Assistant Professor,64,third_lab,name,0,1,0,0,0,0,full_time_faculty,False,1
bgraf,bernice-grafstein,Bernice Grafstein,Retired,207,third_named,title,4,0,1,0,0,0,affiliated_faculty,True,0
bmf9003,bishoy-faltas,Bishoy Faltas,Associate Professor,367,third_lab,title,4,7,0,2,3,0,full_time_faculty,False,1
bjk2007,bjorn-kafsack,Bjorn Kafsack,Associate Professor,186,first_singular,other,2,4,1,0,0,0,affiliated_faculty,True,0
bos2005,botir-sagdullaev,Botir Sagdullaev,Associate Professor,286,first_singular,the_lab,2,4,1,0,0,0,,,0
brs2006,bruce-schackman,Bruce Schackman,Professor,218,third_named,title,0,9,0,4,5,0,full_time_faculty,True,0
cpb2002,carl-blobel,Carl Blobel,Professor,160,third_named,name,2,2,0,0,0,0,affiliated_faculty,False,0
cnathan,carl-nathan,Carl Nathan,Professor,145,third_named,name,2,1,0,0,1,0,full_time_faculty,True,0
camancus,carol-mancuso,Carol Mancuso,Professor,71,third_named,name,0,1,1,0,0,0,non_faculty_academic,True,0
,cesar-arias,Cesar Arias,Professor,14,ambiguous,other,2,0,0,1,0,0,,,0
,charles-rudin,Charles Rudin,Professor,114,third_lab,title,4,0,0,0,1,0,,,0
chs3004,charles-sawyers,Charles Sawyers,Professor,32,ambiguous,title,0,1,0,0,0,0,affiliated_faculty,False,0
,chenxu-zhu,Chenxu Zhu,Assistant Professor,317,third_named,title,4,7,0,5,1,0,,,0
