rank_tier,cwid,name,primary_title,primary_department,confirmed_pubs,active_pi_grants,max_pub_impact
A_100plus_pubs,"rgcryst","Ronald G Crystal","Chair of Genetic Medicine","Genetic Medicine",921,10,65.0
A_100plus_pubs,"mfg9004","Mario Fl Gaudino","Professor of Cardiothoracic Surgery","Cardiothoracic Surgery",875,4,67.0
A_100plus_pubs,"rharrington","Robert Harrington","Stephen and Suzanne Weiss Dean","Medicine",758,0,78.0
A_100plus_pubs,"jmo9001","J Mocco","Chair of Neurological Surgery","Neurological Surgery",604,0,63.0
A_100plus_pubs,"ole2001","Olivier Elemento","Professor of Systems and Computational Biomedicine","Systems and Computational Biomedicine",554,2,75.0
A_100plus_pubs,"cns9006","Cora Sternberg","Professor of Medicine","Medicine",527,0,75.0
A_100plus_pubs,"mal4005","Massimo Loda","Chair of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",521,1,66.0
A_100plus_pubs,"mac9795","Massimo Cristofanilli","Professor of Medicine","Medicine",479,2,67.0
A_100plus_pubs,"kdr9004","Dan Riew","Professor of Orthopaedic Surgery in Neurological Surgery","Neurological Surgery",455,0,63.0
A_100plus_pubs,"hgp2001","Holly G Prigerson","Professor of Sociology in Radiology","Radiology",435,2,74.0
A_100plus_pubs,"nakayos","Yoshifumi Naka","Professor of Cardiothoracic Surgery","Cardiothoracic Surgery",434,0,63.0
A_100plus_pubs,"gec4008","George Coukos","Professor of Immunology in Medicine (Pending Appointment at Rank)","Medicine",426,0,
A_100plus_pubs,"bjr4002","Bjorn Redfors","Professor of Research in Population Health Sciences","Population Health Sciences",413,0,67.0
A_100plus_pubs,"pac2001","Paul J Christos","Professor of Research in Population Health Sciences","Population Health Sciences",374,2,64.0
A_100plus_pubs,"lja2002","Laith Jamal Abu-Raddad","Professor of Population Health Sciences","Population Health Sciences",372,1,83.0
A_100plus_pubs,"ggi9001","Giorgio Ga. Inghirami","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",350,0,75.0
A_100plus_pubs,"jch9011","Jim C. Hu","Professor of Urology","Urology",340,4,68.0
A_100plus_pubs,"dac9184","David Leslie Carr-Locke","Professor of Medicine","Medicine",323,0,65.0
A_100plus_pubs,"myleswo","Myles Wolf","Sanford I. Weill Chair of Medicine","Medicine",322,1,68.0
A_100plus_pubs,"ves4007","Vered Stearns","Professor of Medicine","Medicine",301,2,78.0
A_100plus_pubs,"pag9051","Parag Goyal","Associate Professor of Medicine","Medicine",292,2,73.0
A_100plus_pubs,"haw9006","Hannah Wunsch","Professor of Anesthesiology","Anesthesiology",287,0,67.0
A_100plus_pubs,"rzs9001","Reem Z. Sharaiha","Professor of Medicine","Medicine",272,1,66.0
A_100plus_pubs,"ram2045","Rayaz A. Malik","Professor of Medicine","Medicine",265,2,65.0
A_100plus_pubs,"job2064","John Blenis","Professor of Pharmacology","Pharmacology",253,4,75.0
A_100plus_pubs,"achadbur","Amy Chadburn","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",250,0,74.0
A_100plus_pubs,"jww2001","Jonathan W Weinsaft","Professor of Medicine","Medicine",245,1,64.0
A_100plus_pubs,"mas9313","Manish A Shah","Professor of Medicine","Medicine",243,0,77.0
A_100plus_pubs,"emm4010","Beth McGinty","Professor of Population Health Sciences","Population Health Sciences",242,1,71.0
A_100plus_pubs,"kap9161","Katharine Phillips","Professor of Psychiatry","Psychiatry",234,0,55.0
A_100plus_pubs,"haf9016","Howard Alan Fine","Professor of Neurology","Neurology",233,0,67.0
A_100plus_pubs,"jdw2002","Jedd D Wolchok","Professor","Medicine",228,3,80.0
A_100plus_pubs,"tam2037","Taha Merghoub","Professor of Pharmacology","Pharmacology",226,5,80.0
A_100plus_pubs,"djm9016","Daniel Margolis","Professor of Radiology","Radiology",223,1,60.0
A_100plus_pubs,"jlaurenc","Jeffrey C Laurence","Professor of Medicine","Medicine",220,0,74.0
A_100plus_pubs,"ban9003","Babak Benjamin Navi","Associate Professor of Neurology","Neurology",220,0,65.0
A_100plus_pubs,"mecharl","Mary E Charlson","Professor of Medicine","Medicine",218,0,56.0
A_100plus_pubs,"rsb2005","Robert S. Brown","Professor","Medicine",217,2,64.0
A_100plus_pubs,"nel4003","Neal Lindeman","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",216,0,47.0
A_100plus_pubs,"sjc7004","Sara Czaja","Professor of Gerontology in Medicine","Medicine",212,3,65.0
A_100plus_pubs,"ljaronne","Louis J Aronne","Professor of Clinical Medicine","Medicine",210,0,74.0
A_100plus_pubs,"vip2021","Virginia Pascual","Director, Drukier Institute","Pediatrics",208,4,79.0
A_100plus_pubs,"mmr2011","Mohamed Mohamed Rahouma Ahmed","Assistant Professor of Research in Cardiothoracic Surgery","Cardiothoracic Surgery",208,0,67.0
A_100plus_pubs,"pes2008","Philip E Stieg","Professor of Neurological Surgery","Neurological Surgery",205,0,65.0
A_100plus_pubs,"jom4010","Jorge Moscat","Homer T. Hirst III Professor of Oncology in Pathology","Pathology and Laboratory Medicine",203,2,66.0
A_100plus_pubs,"pek2003","P.J. Klasse","Professor of Research in Microbiology and Immunology","Microbiology and Immunology",195,0,64.0
A_100plus_pubs,"alexisa","Andrew F. Alexis","Professor of Clinical Dermatology","Dermatology",194,1,61.0
A_100plus_pubs,"gdpalerm","Gianpiero D. Palermo","Professor of Embryology in Obstetrics and Gynecology","Obstetrics and Gynecology",193,1,61.0
A_100plus_pubs,"zrm2001","Ziyad Riyad Mahfoud","Professor of Research in Population Health Sciences","Population Health Sciences",190,0,59.0
A_100plus_pubs,"jur9123","Junaid Razzak","Professor of Emergency Medicine","Emergency Medicine",189,5,64.0
A_100plus_pubs,"ans2077","Andrea Sboner","Associate Professor","Pathology and Laboratory Medicine",189,1,75.0
A_100plus_pubs,"law9067","Lars F Westblade","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",188,0,72.0
A_100plus_pubs,"dss2001","Douglas S Scherr","Professor of Urology","Urology",185,0,75.0
A_100plus_pubs,"fslee","Francis S Lee","Chair of Psychiatry","Psychiatry",183,2,62.0
A_100plus_pubs,"srk4008","Sangeeta Kashyap","Professor of Clinical Medicine","Medicine",181,0,75.0
